TIME,Average GDP,1524 Employers Average,2544 Age Employers Average,45 plus Employers Average
Belgium,709.6307287721248,8.075380239215106,51.3325458294186,27.26528474597242
Bulgaria,109.09886978184599,6.090223847838881,49.70013317388559,27.31826860148311
Czechia,269.3403766249762,6.454611496648334,51.31619408516672,26.916197576486763
Denmark,829.0409139050382,14.700963901792608,42.529761107281274,26.69845975460332
Germany,597.3608270823854,10.398459733646874,42.91139917118758,28.977888470649045
Estonia,248.62724609943106,8.789435527249195,46.76967131538805,27.47137099603208
Ireland,987.3950383114487,13.158155885945039,50.6565638017486,23.545108531305246
Greece,448.1345280551205,6.087452246999821,54.09495960713839,27.181201365644625
Spain,470.19413128246794,7.535070909699472,52.68395759196526,26.050192109351073
France,627.5100607610138,9.731513879011747,48.94016726304755,27.210365173824968
Croatia,221.4553250470328,8.781354649901175,51.8995087258346,25.63393525659447
Italy,653.8759142252779,6.324784138946843,48.49425527963151,30.284207721989876
Cyprus,388.27427479075664,9.06205640517449,53.34074331985252,24.13021935345636
Latvia,207.70820892439426,8.777262736699731,47.121033870604144,27.429342312894505
Lithuania,216.74719744767503,8.159720549265236,46.65911828475067,28.420862442784877
Luxembourg,1530.6909585411029,7.229259929517094,55.84477433224932,27.215934104762212
Hungary,201.1107272587864,7.11659215472191,52.81089197090707,26.18892445474813
Malta,358.88156335250443,13.442521631644006,53.302375304847494,21.42690103135097
Netherlands,819.6522968395864,15.886623740051602,42.20211352902604,25.97234139852411
Austria,640.4206184156417,,,
Poland,211.99509934630328,8.376386251414383,53.75315935162895,24.53978994006436
Portugal,314.69617086938257,7.403577044713733,48.198676496150895,29.570009472848763
Romania,168.72086580866164,7.691727360235606,52.84456297667938,26.9590043397597
Slovenia,321.28231141593807,7.735082503007332,51.54312311987248,28.998877379457976
Slovakia,238.64018329693175,7.672179109568821,53.61059543567103,25.24865031519977
Finland,679.6560975350251,11.953549613408436,43.73107879339874,26.151739249520677
Sweden,703.9462300165468,12.28682947246898,44.36966496620389,25.720599308826497
Iceland,643.0544518323584,16.232513490591536,42.249084317362076,25.05102658974621
Norway,1095.63876319285,13.369677970071772,44.964054502520476,25.457364381774845
Switzerland,1079.328676236741,13.015463138746943,43.67954671618738,27.331190543407036
United Kingdom,591.5761562925861,13.643120543513037,45.14978903270481,26.50728584453761
Montenegro,131.0025501559832,9.474276676169085,52.01914066535579,25.51338640963309
North Macedonia,99.24130509063582,9.908447088487838,53.293747157620444,23.803735769676397
Serbia,125.16375168011584,7.2529067480296305,48.539108114567505,28.54292049105024
Turkey,209.48930178476493,16.43038658360421,55.926233078393295,20.017456282069567
