TIME,Average GDP,basic Average,intermediate Average,Advanced Average
Belgium,709.6307287721248,18.58051892774779,39.24143767053751,42.17782716079642
Bulgaria,109.09886978184599,13.481020830776046,57.713673408332824,28.80538546845998
Czechia,269.3403766249762,5.336603211036948,73.00512681483595,21.64429417328513
Denmark,829.0409139050382,21.949426589958133,42.26302377264053,34.09423452158457
Germany,597.3608270823854,13.870702493591375,57.933511232999244,27.986583354524914
Estonia,248.62724609943106,10.431207709124566,51.711521314731215,37.841543904525
Ireland,987.3950383114487,16.18884382158369,36.97226431889502,43.89200271319213
Greece,448.1345280551205,26.59693342984784,42.366434494545466,31.0366885682284
Spain,470.19413128246794,38.90322727053046,23.73603011429329,37.36074261517624
France,627.5100607610138,19.213918255674496,43.98148045538832,36.606135380266
Croatia,221.4553250470328,12.342067161830855,63.457411925699844,24.129892866910488
Italy,653.8759142252779,33.81287473283929,46.445320016094186,19.741812334151778
Cyprus,388.27427479075664,18.525677536248132,38.762742345623096,42.71247707162624
Latvia,207.70820892439426,9.741388347367856,57.393340421802066,32.80413539034001
Lithuania,216.74719744767503,5.113624006514892,54.84708364244442,40.03886946288371
Luxembourg,1530.6909585411029,18.98822134872029,34.51744316749664,42.170500916268715
Hungary,201.1107272587864,12.701391821602465,61.8795694795396,25.418978569182293
Malta,358.88156335250443,41.15390407978845,32.15050704508181,26.697680645269244
Netherlands,819.6522968395864,23.092660981689267,41.367711811679605,34.555802017050944
Austria,640.4206184156417,15.059170102371274,57.11724850236697,27.823726983309594
Poland,211.99509934630328,6.65872202998319,62.60821791846743,30.733054855353764
Portugal,314.69617086938257,53.03661253442332,24.035105457789896,22.92812829416825
Romania,168.72086580866164,21.922570698474182,59.74510391019609,18.3322562640205
Slovenia,321.28231141593807,10.65904110789727,57.5069681830134,31.835042510298887
Slovakia,238.64018329693175,5.847717008545549,72.12534304917726,22.02700556622309
Finland,679.6560975350251,13.291845324939322,46.391953056414245,40.30814569468644
Sweden,703.9462300165468,15.954838062714563,46.42235836926101,37.355300990026485
Iceland,643.0544518323584,30.166655012469995,35.81288021816656,33.88387758431811
Norway,1095.63876319285,18.193668852858334,41.05834042677519,40.36637285099899
Switzerland,1079.328676236741,14.913554008035415,47.272341951043565,37.509936788885824
United Kingdom,591.5761562925861,17.665800376336637,41.92955963812774,39.62908569230244
Montenegro,131.0025501559832,9.00448936917628,62.94381750148147,27.794561513711262
North Macedonia,99.24130509063582,20.53661288156198,54.392736304390496,22.285577650565706
Serbia,125.16375168011584,23.815172350672505,51.05729474381893,23.404087806942314
Turkey,209.48930178476493,58.40472407091538,20.914504572902086,20.680751040976542
