ref_area.label,Average Unemployment Rate,Average GDP
Austria,5.214545454545455,640.4206184156417
Belgium,7.253571428571426,709.6307287721248
Bulgaria,8.11071428571429,109.09886978184599
Croatia,11.869090909090911,221.4553250470328
Cyprus,9.782142857142858,388.27427479075664
Czechia,4.766071428571429,269.3403766249762
Denmark,6.199999999999997,829.0409139050382
Estonia,8.298214285714286,248.62724609943106
Finland,7.967857142857142,679.6560975350251
France,9.021428571428576,627.5100607610138
Germany,5.109615384615385,597.3608270823854
Greece,18.985454545454555,448.1345280551205
Hungary,7.175,201.1107272587864
Iceland,4.892857142857143,643.0544518323584
Ireland,9.978181818181817,987.3950383114487
Italy,10.069642857142856,653.8759142252779
Latvia,11.174999999999999,207.70820892439426
Lithuania,10.075,216.74719744767503
Luxembourg,5.594545454545456,1530.6909585411029
Malta,5.25,358.88156335250443
Montenegro,17.69625,131.0025501559832
Netherlands,5.1125,819.6522968395864
North Macedonia,26.206181818181825,99.24130509063582
Norway,3.6982142857142857,1095.63876319285
Poland,6.882142857142858,211.99509934630328
Portugal,10.53214285714286,314.69617086938257
Romania,5.989090909090908,168.72086580866164
Serbia,15.512380952380944,125.16375168011584
Slovakia,10.430357142857146,238.64018329693175
Slovenia,6.96607142857143,321.28231141593807
Spain,18.891071428571422,470.19413128246794
Sweden,7.608928571428572,703.9462300165468
Switzerland,4.7326530612244895,1079.328676236741
Turkey,10.67115384615385,209.48930178476493
United Kingdom,5.9647058823529395,591.5761562925861
