ref_area.label,Average,Average GDP
Austria,58.895,559.8520534968092
Belgium,64.34833333333333,632.7352918288282
Bulgaria,48.0425,81.42909870144715
Croatia,58.42000000000001,210.46160969348716
Cyprus,52.949999999999996,383.19179691936574
Czechia,53.95583333333334,232.55386598254645
Denmark,59.08916666666668,720.9607727081875
Estonia,54.654166666666676,181.2847936475122
Finland,57.28833333333335,589.1369488943466
France,61.74166666666667,567.8085648155451
Germany,61.93166666666667,526.5478702983438
Greece,56.306666666666665,475.54931529275956
Hungary,50.56999999999999,192.29676567009267
Iceland,61.033333333333324,463.3693179332661
Ireland,45.02166666666667,735.369610549851
Italy,59.380833333333335,624.6133132247951
Latvia,51.393333333333345,159.83609521250935
Lithuania,47.54083333333333,162.916538730376
Luxembourg,54.9475,1395.076447345724
Malta,49.80166666666667,301.46533990391094
Montenegro,46.49333333333333,
Netherlands,63.995,731.960199224532
North Macedonia,44.932500000000005,87.83172361185207
Norway,50.03000000000001,1008.5107486328685
Poland,47.90916666666667,177.7325892207285
Portugal,58.11750000000001,303.4403021282921
Romania,41.99,135.37393368059546
Serbia,51.56416666666667,117.77748312592284
Slovakia,48.56166666666666,202.88501752850962
Slovenia,58.78083333333333,281.09403492998615
Spain,60.277499999999996,434.7316215299217
Sweden,55.39333333333334,599.6462953711133
Switzerland,67.9425,853.8576337324652
Turkey,36.703333333333326,200.96720402904876
United Kingdom,57.73500000000001,516.6101822598233
