unit,na_item,geo\time,Country,Hours,Productivity_HW,Productivity_PER
PC_EU27_2020_MPPS_CP,NLPR_HW,AT,Austria,7.183,117.4,114.5
PC_EU27_2020_MPPS_CP,NLPR_HW,BE,Belgium,7.3,137.9,129
PC_EU27_2020_MPPS_CP,NLPR_HW,BG,Bulgaria,7.15,48.8,50.8
PC_EU27_2020_MPPS_CP,NLPR_HW,HR,Croatia,7.233,60.2,71.6
PC_EU27_2020_MPPS_CP,NLPR_HW,CZ,Czechia,7.183,77.7,85.9
PC_EU27_2020_MPPS_CP,NLPR_HW,DK,Denmark,7.25,139.4,121.3
PC_EU27_2020_MPPS_CP,NLPR_HW,EE,Estonia,7.367,72.5,80.8
PC_EU27_2020_MPPS_CP,NLPR_HW,FI,Finland,7.5,108,110.6
PC_EU27_2020_MPPS_CP,NLPR_HW,FR,"France (including Monaco)",7.383,126.5,115.5
PC_EU27_2020_MPPS_CP,NLPR_HW,DE,Germany,7.233,121.9,104.6
PC_EU27_2020_MPPS_CP,NLPR_HW,EL,Greece,7.1,56.2,66.5
PC_EU27_2020_MPPS_CP,NLPR_HW,HU,Hungary,7.167,68.2,71.1
PC_EU27_2020_MPPS_CP,NLPR_HW,IS,Iceland,7.383,111.4,104.5
PC_EU27_2020_MPPS_CP,NLPR_HW,IE,Ireland,7.283,189.2,213.8
PC_EU27_2020_MPPS_CP,NLPR_HW,IT,Italy,7.083,102.2,102.9
PC_EU27_2020_MPPS_CP,NLPR_HW,LV,Latvia,7.15,59.9,70.1
PC_EU27_2020_MPPS_CP,NLPR_HW,LT,Lithuania,7.3,69.9,81.9
PC_EU27_2020_MPPS_CP,NLPR_HW,LU,Luxembourg,7.117,176,162.1
PC_EU27_2020_MPPS_CP,NLPR_HW,MK,Macedonia,7.233,0,0
PC_EU27_2020_MPPS_CP,NLPR_HW,MT,Malta,6.967,71.8,88.6
PC_EU27_2020_MPPS_CP,NLPR_HW,NL,Netherlands,7.467,122.3,111.6
PC_EU27_2020_MPPS_CP,NLPR_HW,NO,Norway,7.333,135.9,124.3
PC_EU27_2020_MPPS_CP,NLPR_HW,PL,Poland,7.083,63.6,81.7
PC_EU27_2020_MPPS_CP,NLPR_HW,PT,"Portugal (including the Azores and Madeira)",7.217,65.8,74.6
PC_EU27_2020_MPPS_CP,NLPR_HW,CY,Republic of Cyprus,7.233,74.5,82.1
PC_EU27_2020_MPPS_CP,NLPR_HW,RO,Romania,7.15,64.2,75.2
PC_EU27_2020_MPPS_CP,NLPR_HW,RS,Serbia,6.933,0,0
PC_EU27_2020_MPPS_CP,NLPR_HW,SK,Slovakia,7.2,72.1,73.5
PC_EU27_2020_MPPS_CP,NLPR_HW,SI,Slovenia,7.167,83.2,82.7
PC_EU27_2020_MPPS_CP,NLPR_HW,ES,"Spain (including the Balearic Islands)",7.067,92.7,94.3
PC_EU27_2020_MPPS_CP,NLPR_HW,SE,Sweden,7.3,113.6,116
PC_EU27_2020_MPPS_CP,NLPR_HW,CH,Switzerland,7.317,129.4,125.7
